03AR,Hscmh Heliport
03AZ,Thompson International Aviation Airport
03CA,Grossmont Hospital Heliport
03CO,Kugel-Strong Airport
03FA,Lake Persimmon Airstrip
03FD,Tharpe Airport
03FL,Ranger Heliport
03GA,HIA Airport
03I,Clarks Dream Strip
03IA,East Field
03ID,Flying Y Ranch Airport
03II,Davis Field Ultralightport
03IL,Wix Airport
03IN,Heinzman Airport
03IS,OSF St Anthony's Health Center Heliport
03KS,Valley Grain Heliport
03KY,Flying H Farms Airport
03LA,Damien Heliport
03LS,Fmc Nr 1 Heliport
03M,Lakeside Marina Seaplane Base
03MA,Hadley Airport
03MD,Upper Chesapeake Medical Center Heliport
03ME,Maple Ridge Airport
03MI,Harold Miller Heliport
03MN,Nauerth Land Ranch Airport
03MO,Cahoochie Airport
03MS,Vicksburg Medical Center Heliport
03MT,Cascade Field
03MU,McDonnell Airport
03N,Utirik Airport
03NC,Pilots Ridge Airport
03ND,Olafson Brothers Airport
03NE,Hyde Ranch Airport
03NH,Lorden Heliport
03NJ,AT&T Heliport
03NM,Miner's Colfax Medical Center Heliport
03NR,Johnston Medical Center Heliport
03NV,Llama Ranch Airport
03NY,Talmage Field
03OH,Gibbs Field
03OI,"Cleveland Clinic, Marymount Hospital Heliport"
03OK,Sahoma Lake Airport
03OL,Bluebird Airport
03OR,Powwatka Ridge Airport
03PA,Collegeville Heliport
03PN,M.P. Metals Heliport
03PR,Sun View Field Airport
03PS,Ziggy's Field
03S,Sandy River Airport
03SC,Seacoast Medical Center Heliport
03TA,Gay Hill Farm Airport
03TE,Barronena Ranch Airport
03TN,Eagles Landing Heliport
03TS,Shannon Medical Center Heliport
03TT,Brazos Polo Airport
03TX,M D K Field Heliport
03UT,AZ Minerals Corporation Airport
03VA,Whipoorwill Springs Airport
03WA,Spangle Field
03WI,Zink Airport
03WN,Aerostone Ranch Airport
03WT,Lopez Medical Clinic Heliport
03XA,Del Sol Medical Center Heliport
03XS,Creekside Airport
04AA,Flying W Ranch Airport
04AL,Anniston AHP (Anniston Army Depot)
04AR,Saline Memorial Hospital Heliport
04AZ,Chinle Airport
04CA,Gray Butte Field
04CL,Hunt's Sky Ranch Airport
04CT,Shingle Mill Heliport
04F,De Leon Municipal Airport
04FA,Richards Field
04FD,Tampa General Hospital Brandon Healthplex Heliport
04FL,Cross Creek Farms Airport
04I,Columbus Southwest Airport
04IA,Middlekoop Airport
04ID,Lanham Field
04II,Turkey Run Airport
04IL,Schertz Aerial Service - Hudson Airport
04IN,Lake Gage Seaplane Base
04IS,Van Gorder Airport
04KS,Robinson Industries Heliport
04KY,Natchez Trace Farm Airport
04LA,Saint James Parish Hospital Heliport
04LL,Brunner Airport
04LS,La National Guard Heliport
04MA,Goddard Field
04MD,Chesapeake City Heliport
04ME,Beech Hill Airport
04MI,Rapids Airway Airport
04MN,Helblad Airport
04MO,Airpark Private Airport
04MS,Nick's Flying Service Inc Airport
04MT,Pluhar Airport
04NC,Western Wake Medical Center Heliport
04NE,Mc Connell Field Airport
04NJ,Emmanuel Airport
04NR,McGee 04 Heliport
04NV,Kingston Ranch Airport
04NY,Klaverack Airport
04OG,Teufel Heliport
04OH,Bossow Airport
04OK,Stillwater Medical Center Heliport
04OR,Collins Landing Strip
04PA,S & C Distribution Center Heliport
04PN,Strawbridge & Clothier Exton Heliport
04SC,Emergency Helipad
04SD,Cheyenne River Health Center Heliport
04TA,Capitol National Bank Building Heliport
04TE,Veterans Affairs Medical Center Heliport
04TN,Hensley Airpark
04TS,Hummingbird Heliport
04TT,4D Ranch Airport
04TX,Pocock Airport
04UT,Navajo Mountain Airport
04V,Saguache Municipal Airport
04VA,Russell County Medical Center Heliport
04VG,Manquin Flight Park Ultralightport
04VT,Lightning Bolt Field Airport
04W,Field of Dreams Airport
04WA,Ox Meadows Airport
04WI,Dutch Gap Airstrip
04WN,Stillwater Creek Airport
04WV,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport
04XA,Pecan Field
04XS,Schmidts Heliport
05AK,Wasilla Creek Airpark
05AL,Allen Stagefield Army Heliport
05AR,Ozark Skies Airpark
05AZ,Yuma Regional Medical Center Heliport
05B,Van Buren Seaplane Base
05CA,Lost Hills Sheriff's Station Heliport
05CL,Pope Valley Airport
